elbo,-kl,log_px,log_py
-171.72,-25.436,-68.9273,-100.249
-224.488,-36.6735,-88.1599,-132.661
-251.898,-31.0847,-98.5794,-150.21
-351.907,-37.885,-148.694,-199.425
-327.816,-44.2553,-129.41,-193.981
-167.4,-40.8798,-66.008,-97.3042
-201.251,-50.6917,-83.8387,-112.343
-291.36,-31.3063,-118.536,-169.694
-241.467,-38.1193,-93.3069,-144.349
-214.821,-36.751,-82.238,-128.908
-157.211,-28.3666,-62.2052,-92.1686
-198.121,-41.0662,-78.5439,-115.47
-111.42,-25.1448,-46.5143,-62.3909
-261.033,-43.0053,-99.2696,-157.462
-212.763,-29.2469,-86.2446,-123.594
-171.91,-33.4047,-66.372,-102.198
-326.232,-37.8034,-125.761,-196.691
-252.573,-32.844,-101.978,-147.31
-277.19,-37.6689,-107.311,-166.112
-206.693,-29.654,-83.9503,-119.777
-92.5703,-18.2544,-35.6458,-55.099
-238.422,-34.6654,-90.943,-144.013
-219.085,-29.5736,-87.345,-128.783
-232.82,-39.6493,-90.8306,-138.025
-126.042,-26.7507,-49.7619,-73.6056
-229.789,-33.9367,-89.7181,-136.678
-261.745,-45.5908,-98.8119,-158.374
-80.8179,-29.312,-30.8576,-47.0292
-313.357,-46.3225,-122.609,-186.117
-283.002,-38.2861,-109.801,-169.372
-228.949,-26.6763,-85.6111,-140.671
-181.49,-43.3551,-66.9641,-110.19
-290.962,-35.8872,-107.644,-179.728
-185.101,-43.0682,-74.5066,-106.288
-153.146,-31.1464,-61.02,-89.0112
-163.102,-32.9729,-62.877,-96.928
-86.7781,-15.1028,-32.964,-52.3038
-77.1795,-24.359,-29.132,-45.6116
-225.524,-26.9212,-85.4632,-137.369
-194.081,-38.0202,-75.3109,-114.968
-361.406,-41.0789,-143.492,-213.806
-204.324,-33.7462,-75.4097,-125.54
-235.225,-41.5831,-86.3669,-144.7
-68.1647,-17.1549,-25.0213,-41.4279
-246.387,-31.5788,-92.1443,-151.085
-231.842,-37.3206,-84.2339,-143.876
-182.37,-32.1246,-69.618,-109.54
-242.185,-33.9646,-87.827,-150.962
-278.774,-39.1935,-101.17,-173.685
-188.351,-35.0935,-73.8539,-110.988
-203.925,-34.8889,-74.0492,-126.387
-56.9474,-26.7529,-20.9582,-33.3138
-55.7786,-34.0076,-22.6265,-29.7514
-151.61,-32.6031,-56.6956,-91.6539
-182.841,-41.5253,-68.3141,-110.374
-221.593,-31.7854,-81.4249,-136.989
-198.267,-42.4232,-72.308,-121.717
-178.036,-38.9862,-62.6083,-111.529
-235.175,-32.4089,-85.3652,-146.569
-226.9,-28.4398,-86.036,-138.02
-115.97,-28.5932,-40.086,-73.0252
-251.662,-46.3016,-88.6861,-158.346
-186.85,-39.6592,-68.1154,-114.769
-363.475,-45.6573,-139.453,-219.456
-255.534,-39.4771,-98.1972,-153.389
-177.775,-35.4817,-63.0021,-111.224
-256.683,-33.677,-95.1149,-158.2
-52.6563,-32.6689,-22.0381,-27.3513
-293.42,-28.9759,-110.065,-180.457
-192.633,-32.7593,-69.0522,-120.305
-267.954,-44.0051,-95.9333,-167.62
-170.313,-34.3561,-64.4934,-102.384
-209.518,-40.8584,-74.8425,-130.59
-187.219,-42.1108,-64.3242,-118.683
-50.0329,-28.5822,-21.5588,-25.6159
-213.011,-44.4693,-76.259,-132.305
-242.583,-48.4421,-83.6466,-154.092
-154.281,-34.0117,-54.1082,-96.772
-40.174,-18.827,-14.8793,-23.412
-57.8877,-29.0079,-22.3102,-32.6767
-279.234,-52.0111,-99.9895,-174.043
-333.97,-42.2336,-119.734,-210.013
-109.055,-29.1282,-38.7174,-67.4243
-186.921,-31.2366,-63.9306,-119.867
-183.646,-34.2939,-66.0325,-114.184
-93.4428,-21.5754,-36.8206,-54.4647
-131.978,-31.2232,-44.1582,-84.6979
-455.973,-20.6407,-163.328,-290.581
-138.192,-32.3738,-50.8189,-84.1358
-228.846,-40.3361,-84.3814,-140.431
-193.579,-51.3923,-66.755,-121.684
-181.86,-31.1252,-65.2845,-113.463
-255.531,-42.4,-88.8799,-162.411
-148.999,-34.3947,-52.396,-93.1631
-60.3654,-21.667,-20.449,-37.7498
-166.579,-34.5669,-58.1955,-104.927
-176.679,-44.758,-63.623,-108.58
-160.853,-35.2504,-53.7944,-103.534
-219.54,-25.0428,-79.431,-137.604
-207.16,-34.9632,-71.8988,-131.765
-55.052,-29.719,-20.9553,-31.1248
-186.009,-27.0578,-62.0169,-121.286
-190.556,-48.2148,-67.8068,-117.928
-64.4098,-59.2827,-23.5688,-34.9127
-285.994,-49.1918,-95.6098,-185.465
-208.246,-29.0543,-72.3578,-132.983
-58.0455,-46.7288,-20.8372,-32.5354
-229.759,-38.1681,-75.0445,-150.897
-294.019,-44.5163,-103.333,-186.235
-257.106,-41.5408,-88.7331,-164.219
-212.52,-35.6674,-67.5986,-141.355
-232.114,-52.6693,-78.4169,-148.43
-181.23,-45.8975,-59.6463,-116.994
-128.943,-27.1103,-45.1893,-81.0429
-236.987,-31.6726,-73.7756,-160.044
-229.396,-28.7441,-75.2482,-151.273
-225.204,-35.5725,-76.8904,-144.757
