[dynet] random seed: 2
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_145953`.
Saving logs to `models/temp/20190105_145953/log`.
Saving predictions to `models/temp/20190105_145953/output`.
Saving models to `models/temp/20190105_145953`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 191.928 | lr 1.0e-01 | 29.0 sents/sec |  2.9 updates/sec | elapsed 0h00m00s | eta 0h26m09s 
| epoch 1 | step      2/ 4544 (0%) | loss 157.398 | lr 1.0e-01 | 31.6 sents/sec |  3.2 updates/sec | elapsed 0h00m00s | eta 0h23m56s 
| epoch 1 | step      3/ 4544 (0%) | loss 133.022 | lr 1.0e-01 | 32.9 sents/sec |  3.3 updates/sec | elapsed 0h00m00s | eta 0h22m58s 
| epoch 1 | step      4/ 4544 (0%) | loss 134.971 | lr 1.0e-01 | 31.9 sents/sec |  3.2 updates/sec | elapsed 0h00m01s | eta 0h23m42s 
| epoch 1 | step      5/ 4544 (0%) | loss 117.251 | lr 1.0e-01 | 31.6 sents/sec |  3.2 updates/sec | elapsed 0h00m01s | eta 0h23m55s 
| epoch 1 | step      6/ 4544 (0%) | loss 136.248 | lr 1.0e-01 | 30.4 sents/sec |  3.0 updates/sec | elapsed 0h00m01s | eta 0h24m52s 
| epoch 1 | step      7/ 4544 (0%) | loss 122.842 | lr 1.0e-01 | 30.1 sents/sec |  3.0 updates/sec | elapsed 0h00m02s | eta 0h25m07s 
| epoch 1 | step      8/ 4544 (0%) | loss 137.218 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m02s | eta 0h25m47s 
| epoch 1 | step      9/ 4544 (0%) | loss  93.279 | lr 1.0e-01 | 29.7 sents/sec |  3.0 updates/sec | elapsed 0h00m03s | eta 0h25m28s 
| epoch 1 | step     10/ 4544 (0%) | loss 127.164 | lr 1.0e-01 | 29.4 sents/sec |  2.9 updates/sec | elapsed 0h00m03s | eta 0h25m44s 
| epoch 1 | step     11/ 4544 (0%) | loss  94.021 | lr 1.0e-01 | 29.7 sents/sec |  3.0 updates/sec | elapsed 0h00m03s | eta 0h25m26s 
| epoch 1 | step     12/ 4544 (0%) | loss 101.641 | lr 1.0e-01 | 30.0 sents/sec |  3.0 updates/sec | elapsed 0h00m04s | eta 0h25m12s 
| epoch 1 | step     13/ 4544 (0%) | loss 126.398 | lr 1.0e-01 | 29.5 sents/sec |  3.0 updates/sec | elapsed 0h00m04s | eta 0h25m35s 
| epoch 1 | step     14/ 4544 (0%) | loss  99.954 | lr 1.0e-01 | 29.8 sents/sec |  3.0 updates/sec | elapsed 0h00m04s | eta 0h25m21s 
| epoch 1 | step     15/ 4544 (0%) | loss 109.019 | lr 1.0e-01 | 29.8 sents/sec |  3.0 updates/sec | elapsed 0h00m05s | eta 0h25m17s 
| epoch 1 | step     16/ 4544 (0%) | loss  97.767 | lr 1.0e-01 | 30.0 sents/sec |  3.0 updates/sec | elapsed 0h00m05s | eta 0h25m10s 
| epoch 1 | step     17/ 4544 (0%) | loss 181.665 | lr 1.0e-01 | 28.8 sents/sec |  2.9 updates/sec | elapsed 0h00m05s | eta 0h26m12s 
| epoch 1 | step     18/ 4544 (0%) | loss 103.205 | lr 1.0e-01 | 28.8 sents/sec |  2.9 updates/sec | elapsed 0h00m06s | eta 0h26m10s 
| epoch 1 | step     19/ 4544 (0%) | loss 113.870 | lr 1.0e-01 | 28.7 sents/sec |  2.9 updates/sec | elapsed 0h00m06s | eta 0h26m16s 
| epoch 1 | step     20/ 4544 (0%) | loss  82.714 | lr 1.0e-01 | 28.9 sents/sec |  2.9 updates/sec | elapsed 0h00m06s | eta 0h26m05s 
| epoch 1 | step     21/ 4544 (0%) | loss  92.427 | lr 1.0e-01 | 29.0 sents/sec |  2.9 updates/sec | elapsed 0h00m07s | eta 0h26m00s 
| epoch 1 | step     22/ 4544 (0%) | loss  86.744 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m07s | eta 0h25m51s 
| epoch 1 | step     23/ 4544 (1%) | loss  91.978 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m07s | eta 0h25m44s 
| epoch 1 | step     24/ 4544 (1%) | loss 105.267 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m08s | eta 0h25m48s 
| epoch 1 | step     25/ 4544 (1%) | loss 119.119 | lr 1.0e-01 | 29.0 sents/sec |  2.9 updates/sec | elapsed 0h00m08s | eta 0h25m57s 
| epoch 1 | step     26/ 4544 (1%) | loss  77.426 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m08s | eta 0h25m45s 
| epoch 1 | step     27/ 4544 (1%) | loss  88.229 | lr 1.0e-01 | 29.4 sents/sec |  2.9 updates/sec | elapsed 0h00m09s | eta 0h25m36s 
