[dynet] random seed: 6
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_150013`.
Saving logs to `models/temp/20190105_150013/log`.
Saving predictions to `models/temp/20190105_150013/output`.
Saving models to `models/temp/20190105_150013`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 166.507 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m00s | eta 0h31m03s 
| epoch 1 | step      2/ 4544 (0%) | loss 253.928 | lr 1.0e-01 | 20.4 sents/sec |  2.0 updates/sec | elapsed 0h00m00s | eta 0h37m03s 
| epoch 1 | step      3/ 4544 (0%) | loss 144.822 | lr 1.0e-01 | 22.1 sents/sec |  2.2 updates/sec | elapsed 0h00m01s | eta 0h34m17s 
| epoch 1 | step      4/ 4544 (0%) | loss 152.153 | lr 1.0e-01 | 21.7 sents/sec |  2.2 updates/sec | elapsed 0h00m01s | eta 0h34m50s 
| epoch 1 | step      5/ 4544 (0%) | loss 125.027 | lr 1.0e-01 | 21.8 sents/sec |  2.2 updates/sec | elapsed 0h00m02s | eta 0h34m40s 
| epoch 1 | step      6/ 4544 (0%) | loss 111.474 | lr 1.0e-01 | 22.4 sents/sec |  2.2 updates/sec | elapsed 0h00m02s | eta 0h33m42s 
| epoch 1 | step      7/ 4544 (0%) | loss 102.448 | lr 1.0e-01 | 23.1 sents/sec |  2.3 updates/sec | elapsed 0h00m03s | eta 0h32m42s 
| epoch 1 | step      8/ 4544 (0%) | loss  87.686 | lr 1.0e-01 | 24.1 sents/sec |  2.4 updates/sec | elapsed 0h00m03s | eta 0h31m18s 
| epoch 1 | step      9/ 4544 (0%) | loss 106.274 | lr 1.0e-01 | 24.3 sents/sec |  2.4 updates/sec | elapsed 0h00m03s | eta 0h31m06s 
| epoch 1 | step     10/ 4544 (0%) | loss 121.064 | lr 1.0e-01 | 24.2 sents/sec |  2.4 updates/sec | elapsed 0h00m04s | eta 0h31m12s 
| epoch 1 | step     11/ 4544 (0%) | loss  97.850 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m04s | eta 0h31m00s 
| epoch 1 | step     12/ 4544 (0%) | loss 113.526 | lr 1.0e-01 | 24.3 sents/sec |  2.4 updates/sec | elapsed 0h00m04s | eta 0h31m03s 
