[dynet] random seed: 7
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_150019`.
Saving logs to `models/temp/20190105_150019/log`.
Saving predictions to `models/temp/20190105_150019/output`.
Saving models to `models/temp/20190105_150019`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 181.285 | lr 1.0e-01 | 21.9 sents/sec |  2.2 updates/sec | elapsed 0h00m00s | eta 0h34m33s 
| epoch 1 | step      2/ 4544 (0%) | loss 177.874 | lr 1.0e-01 | 23.1 sents/sec |  2.3 updates/sec | elapsed 0h00m00s | eta 0h32m47s 
| epoch 1 | step      3/ 4544 (0%) | loss 147.527 | lr 1.0e-01 | 23.2 sents/sec |  2.3 updates/sec | elapsed 0h00m01s | eta 0h32m40s 
| epoch 1 | step      4/ 4544 (0%) | loss 115.212 | lr 1.0e-01 | 23.5 sents/sec |  2.3 updates/sec | elapsed 0h00m01s | eta 0h32m12s 
| epoch 1 | step      5/ 4544 (0%) | loss 104.533 | lr 1.0e-01 | 24.0 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m32s 
| epoch 1 | step      6/ 4544 (0%) | loss 120.568 | lr 1.0e-01 | 24.0 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m28s 
| epoch 1 | step      7/ 4544 (0%) | loss  89.517 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m02s | eta 0h30m44s 
| epoch 1 | step      8/ 4544 (0%) | loss  90.627 | lr 1.0e-01 | 25.3 sents/sec |  2.5 updates/sec | elapsed 0h00m03s | eta 0h29m51s 
| epoch 1 | step      9/ 4544 (0%) | loss 103.657 | lr 1.0e-01 | 25.4 sents/sec |  2.5 updates/sec | elapsed 0h00m03s | eta 0h29m46s 
| epoch 1 | step     10/ 4544 (0%) | loss 133.530 | lr 1.0e-01 | 24.8 sents/sec |  2.5 updates/sec | elapsed 0h00m04s | eta 0h30m31s 
| epoch 1 | step     11/ 4544 (0%) | loss 113.463 | lr 1.0e-01 | 24.5 sents/sec |  2.5 updates/sec | elapsed 0h00m04s | eta 0h30m49s 
| epoch 1 | step     12/ 4544 (0%) | loss 101.669 | lr 1.0e-01 | 24.7 sents/sec |  2.5 updates/sec | elapsed 0h00m04s | eta 0h30m31s 
| epoch 1 | step     13/ 4544 (0%) | loss 119.053 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m05s | eta 0h30m45s 
| epoch 1 | step     14/ 4544 (0%) | loss 114.211 | lr 1.0e-01 | 24.5 sents/sec |  2.4 updates/sec | elapsed 0h00m05s | eta 0h30m49s 
| epoch 1 | step     15/ 4544 (0%) | loss 126.079 | lr 1.0e-01 | 24.2 sents/sec |  2.4 updates/sec | elapsed 0h00m06s | eta 0h31m12s 
| epoch 1 | step     16/ 4544 (0%) | loss  82.582 | lr 1.0e-01 | 24.5 sents/sec |  2.5 updates/sec | elapsed 0h00m06s | eta 0h30m48s 
| epoch 1 | step     17/ 4544 (0%) | loss 118.954 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m06s | eta 0h30m55s 
| epoch 1 | step     18/ 4544 (0%) | loss  86.396 | lr 1.0e-01 | 24.7 sents/sec |  2.5 updates/sec | elapsed 0h00m07s | eta 0h30m34s 
| epoch 1 | step     19/ 4544 (0%) | loss 120.019 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m07s | eta 0h30m41s 
| epoch 1 | step     20/ 4544 (0%) | loss 103.289 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h30m40s 
| epoch 1 | step     21/ 4544 (0%) | loss  84.599 | lr 1.0e-01 | 24.8 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h30m25s 
| epoch 1 | step     22/ 4544 (0%) | loss  92.118 | lr 1.0e-01 | 25.0 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h30m11s 
| epoch 1 | step     23/ 4544 (1%) | loss  88.645 | lr 1.0e-01 | 25.1 sents/sec |  2.5 updates/sec | elapsed 0h00m09s | eta 0h30m02s 
| epoch 1 | step     24/ 4544 (1%) | loss  80.718 | lr 1.0e-01 | 25.3 sents/sec |  2.5 updates/sec | elapsed 0h00m09s | eta 0h29m48s 
| epoch 1 | step     25/ 4544 (1%) | loss  94.781 | lr 1.0e-01 | 25.4 sents/sec |  2.5 updates/sec | elapsed 0h00m09s | eta 0h29m41s 
| epoch 1 | step     26/ 4544 (1%) | loss  95.490 | lr 1.0e-01 | 25.4 sents/sec |  2.5 updates/sec | elapsed 0h00m10s | eta 0h29m39s 
| epoch 1 | step     27/ 4544 (1%) | loss 120.124 | lr 1.0e-01 | 25.2 sents/sec |  2.5 updates/sec | elapsed 0h00m10s | eta 0h29m50s 
| epoch 1 | step     28/ 4544 (1%) | loss  94.332 | lr 1.0e-01 | 25.3 sents/sec |  2.5 updates/sec | elapsed 0h00m11s | eta 0h29m45s 
| epoch 1 | step     29/ 4544 (1%) | loss 110.845 | lr 1.0e-01 | 25.2 sents/sec |  2.5 updates/sec | elapsed 0h00m11s | eta 0h29m55s 
