[dynet] random seed: 8
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_150024`.
Saving logs to `models/temp/20190105_150024/log`.
Saving predictions to `models/temp/20190105_150024/output`.
Saving models to `models/temp/20190105_150024`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 186.476 | lr 1.0e-01 | 21.6 sents/sec |  2.2 updates/sec | elapsed 0h00m00s | eta 0h34m58s 
| epoch 1 | step      2/ 4544 (0%) | loss 218.408 | lr 1.0e-01 | 21.1 sents/sec |  2.1 updates/sec | elapsed 0h00m00s | eta 0h35m57s 
| epoch 1 | step      3/ 4544 (0%) | loss 144.424 | lr 1.0e-01 | 22.8 sents/sec |  2.3 updates/sec | elapsed 0h00m01s | eta 0h33m12s 
| epoch 1 | step      4/ 4544 (0%) | loss 143.184 | lr 1.0e-01 | 22.6 sents/sec |  2.3 updates/sec | elapsed 0h00m01s | eta 0h33m29s 
| epoch 1 | step      5/ 4544 (0%) | loss  87.451 | lr 1.0e-01 | 23.8 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m43s 
| epoch 1 | step      6/ 4544 (0%) | loss 112.636 | lr 1.0e-01 | 23.9 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m37s 
| epoch 1 | step      7/ 4544 (0%) | loss 113.836 | lr 1.0e-01 | 24.1 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m20s 
| epoch 1 | step      8/ 4544 (0%) | loss  98.004 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m03s | eta 0h30m59s 
| epoch 1 | step      9/ 4544 (0%) | loss 141.274 | lr 1.0e-01 | 23.8 sents/sec |  2.4 updates/sec | elapsed 0h00m03s | eta 0h31m45s 
| epoch 1 | step     10/ 4544 (0%) | loss 114.937 | lr 1.0e-01 | 23.6 sents/sec |  2.4 updates/sec | elapsed 0h00m04s | eta 0h32m02s 
| epoch 1 | step     11/ 4544 (0%) | loss 113.186 | lr 1.0e-01 | 23.6 sents/sec |  2.4 updates/sec | elapsed 0h00m04s | eta 0h31m58s 
| epoch 1 | step     12/ 4544 (0%) | loss 106.825 | lr 1.0e-01 | 23.7 sents/sec |  2.4 updates/sec | elapsed 0h00m05s | eta 0h31m55s 
| epoch 1 | step     13/ 4544 (0%) | loss  74.831 | lr 1.0e-01 | 24.2 sents/sec |  2.4 updates/sec | elapsed 0h00m05s | eta 0h31m13s 
| epoch 1 | step     14/ 4544 (0%) | loss  81.898 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m05s | eta 0h30m44s 
| epoch 1 | step     15/ 4544 (0%) | loss 107.409 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m06s | eta 0h30m44s 
| epoch 1 | step     16/ 4544 (0%) | loss 135.707 | lr 1.0e-01 | 24.2 sents/sec |  2.4 updates/sec | elapsed 0h00m06s | eta 0h31m14s 
| epoch 1 | step     17/ 4544 (0%) | loss  97.691 | lr 1.0e-01 | 24.2 sents/sec |  2.4 updates/sec | elapsed 0h00m07s | eta 0h31m07s 
| epoch 1 | step     18/ 4544 (0%) | loss  95.771 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m07s | eta 0h30m58s 
| epoch 1 | step     19/ 4544 (0%) | loss 139.157 | lr 1.0e-01 | 23.9 sents/sec |  2.4 updates/sec | elapsed 0h00m07s | eta 0h31m29s 
