[dynet] random seed: 4
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_150003`.
Saving logs to `models/temp/20190105_150003/log`.
Saving predictions to `models/temp/20190105_150003/output`.
Saving models to `models/temp/20190105_150003`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 170.051 | lr 1.0e-01 | 25.8 sents/sec |  2.6 updates/sec | elapsed 0h00m00s | eta 0h29m19s 
| epoch 1 | step      2/ 4544 (0%) | loss 253.915 | lr 1.0e-01 | 21.4 sents/sec |  2.1 updates/sec | elapsed 0h00m00s | eta 0h35m18s 
| epoch 1 | step      3/ 4544 (0%) | loss 177.074 | lr 1.0e-01 | 21.6 sents/sec |  2.2 updates/sec | elapsed 0h00m01s | eta 0h34m59s 
| epoch 1 | step      4/ 4544 (0%) | loss 111.887 | lr 1.0e-01 | 23.0 sents/sec |  2.3 updates/sec | elapsed 0h00m01s | eta 0h32m53s 
| epoch 1 | step      5/ 4544 (0%) | loss 127.961 | lr 1.0e-01 | 23.8 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m45s 
| epoch 1 | step      6/ 4544 (0%) | loss 154.160 | lr 1.0e-01 | 23.7 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m54s 
| epoch 1 | step      7/ 4544 (0%) | loss 128.285 | lr 1.0e-01 | 23.9 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m42s 
| epoch 1 | step      8/ 4544 (0%) | loss 136.954 | lr 1.0e-01 | 23.9 sents/sec |  2.4 updates/sec | elapsed 0h00m03s | eta 0h31m36s 
| epoch 1 | step      9/ 4544 (0%) | loss 101.924 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m03s | eta 0h30m59s 
| epoch 1 | step     10/ 4544 (0%) | loss  75.742 | lr 1.0e-01 | 25.4 sents/sec |  2.5 updates/sec | elapsed 0h00m03s | eta 0h29m48s 
| epoch 1 | step     11/ 4544 (0%) | loss 135.979 | lr 1.0e-01 | 25.2 sents/sec |  2.5 updates/sec | elapsed 0h00m04s | eta 0h30m00s 
| epoch 1 | step     12/ 4544 (0%) | loss 117.481 | lr 1.0e-01 | 25.2 sents/sec |  2.5 updates/sec | elapsed 0h00m04s | eta 0h29m56s 
| epoch 1 | step     13/ 4544 (0%) | loss 128.748 | lr 1.0e-01 | 25.1 sents/sec |  2.5 updates/sec | elapsed 0h00m05s | eta 0h30m08s 
| epoch 1 | step     14/ 4544 (0%) | loss 133.025 | lr 1.0e-01 | 24.9 sents/sec |  2.5 updates/sec | elapsed 0h00m05s | eta 0h30m19s 
| epoch 1 | step     15/ 4544 (0%) | loss 112.286 | lr 1.0e-01 | 25.1 sents/sec |  2.5 updates/sec | elapsed 0h00m05s | eta 0h30m02s 
| epoch 1 | step     16/ 4544 (0%) | loss  92.135 | lr 1.0e-01 | 25.5 sents/sec |  2.5 updates/sec | elapsed 0h00m06s | eta 0h29m39s 
| epoch 1 | step     17/ 4544 (0%) | loss  98.726 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m06s | eta 0h29m20s 
| epoch 1 | step     18/ 4544 (0%) | loss 102.867 | lr 1.0e-01 | 25.9 sents/sec |  2.6 updates/sec | elapsed 0h00m06s | eta 0h29m10s 
| epoch 1 | step     19/ 4544 (0%) | loss 130.505 | lr 1.0e-01 | 25.5 sents/sec |  2.6 updates/sec | elapsed 0h00m07s | eta 0h29m34s 
| epoch 1 | step     20/ 4544 (0%) | loss 120.508 | lr 1.0e-01 | 25.3 sents/sec |  2.5 updates/sec | elapsed 0h00m07s | eta 0h29m49s 
| epoch 1 | step     21/ 4544 (0%) | loss  89.705 | lr 1.0e-01 | 25.3 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h29m45s 
| epoch 1 | step     22/ 4544 (0%) | loss 106.900 | lr 1.0e-01 | 25.4 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h29m40s 
| epoch 1 | step     23/ 4544 (1%) | loss  88.305 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m08s | eta 0h29m20s 
| epoch 1 | step     24/ 4544 (1%) | loss  92.742 | lr 1.0e-01 | 25.9 sents/sec |  2.6 updates/sec | elapsed 0h00m09s | eta 0h29m08s 
| epoch 1 | step     25/ 4544 (1%) | loss  94.630 | lr 1.0e-01 | 26.0 sents/sec |  2.6 updates/sec | elapsed 0h00m09s | eta 0h28m58s 
| epoch 1 | step     26/ 4544 (1%) | loss  98.864 | lr 1.0e-01 | 26.1 sents/sec |  2.6 updates/sec | elapsed 0h00m09s | eta 0h28m53s 
| epoch 1 | step     27/ 4544 (1%) | loss  82.780 | lr 1.0e-01 | 26.3 sents/sec |  2.6 updates/sec | elapsed 0h00m10s | eta 0h28m37s 
| epoch 1 | step     28/ 4544 (1%) | loss 106.693 | lr 1.0e-01 | 26.3 sents/sec |  2.6 updates/sec | elapsed 0h00m10s | eta 0h28m35s 
| epoch 1 | step     29/ 4544 (1%) | loss 124.963 | lr 1.0e-01 | 26.3 sents/sec |  2.6 updates/sec | elapsed 0h00m11s | eta 0h28m39s 
| epoch 1 | step     30/ 4544 (1%) | loss 105.071 | lr 1.0e-01 | 26.2 sents/sec |  2.6 updates/sec | elapsed 0h00m11s | eta 0h28m41s 
| epoch 1 | step     31/ 4544 (1%) | loss 106.281 | lr 1.0e-01 | 26.1 sents/sec |  2.6 updates/sec | elapsed 0h00m11s | eta 0h28m48s 
| epoch 1 | step     32/ 4544 (1%) | loss  93.604 | lr 1.0e-01 | 26.2 sents/sec |  2.6 updates/sec | elapsed 0h00m12s | eta 0h28m44s 
