[dynet] random seed: 10
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_150034`.
Saving logs to `models/temp/20190105_150034/log`.
Saving predictions to `models/temp/20190105_150034/output`.
Saving models to `models/temp/20190105_150034`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 221.252 | lr 1.0e-01 | 18.7 sents/sec |  1.9 updates/sec | elapsed 0h00m00s | eta 0h40m35s 
| epoch 1 | step      2/ 4544 (0%) | loss 225.644 | lr 1.0e-01 | 18.9 sents/sec |  1.9 updates/sec | elapsed 0h00m01s | eta 0h39m58s 
| epoch 1 | step      3/ 4544 (0%) | loss 155.593 | lr 1.0e-01 | 19.6 sents/sec |  2.0 updates/sec | elapsed 0h00m01s | eta 0h38m33s 
| epoch 1 | step      4/ 4544 (0%) | loss 117.657 | lr 1.0e-01 | 20.2 sents/sec |  2.0 updates/sec | elapsed 0h00m01s | eta 0h37m32s 
| epoch 1 | step      5/ 4544 (0%) | loss 124.030 | lr 1.0e-01 | 20.0 sents/sec |  2.0 updates/sec | elapsed 0h00m02s | eta 0h37m48s 
| epoch 1 | step      6/ 4544 (0%) | loss 125.566 | lr 1.0e-01 | 20.0 sents/sec |  2.0 updates/sec | elapsed 0h00m03s | eta 0h37m54s 
| epoch 1 | step      7/ 4544 (0%) | loss 122.128 | lr 1.0e-01 | 19.8 sents/sec |  2.0 updates/sec | elapsed 0h00m03s | eta 0h38m13s 
| epoch 1 | step      8/ 4544 (0%) | loss 115.744 | lr 1.0e-01 | 20.0 sents/sec |  2.0 updates/sec | elapsed 0h00m03s | eta 0h37m47s 
| epoch 1 | step      9/ 4544 (0%) | loss 112.038 | lr 1.0e-01 | 20.2 sents/sec |  2.0 updates/sec | elapsed 0h00m04s | eta 0h37m23s 
| epoch 1 | step     10/ 4544 (0%) | loss  92.379 | lr 1.0e-01 | 20.7 sents/sec |  2.1 updates/sec | elapsed 0h00m04s | eta 0h36m26s 
| epoch 1 | step     11/ 4544 (0%) | loss 100.830 | lr 1.0e-01 | 21.1 sents/sec |  2.1 updates/sec | elapsed 0h00m05s | eta 0h35m49s 
| epoch 1 | step     12/ 4544 (0%) | loss 105.937 | lr 1.0e-01 | 21.1 sents/sec |  2.1 updates/sec | elapsed 0h00m05s | eta 0h35m46s 
| epoch 1 | step     13/ 4544 (0%) | loss 133.241 | lr 1.0e-01 | 20.8 sents/sec |  2.1 updates/sec | elapsed 0h00m06s | eta 0h36m19s 
| epoch 1 | step     14/ 4544 (0%) | loss 107.643 | lr 1.0e-01 | 20.8 sents/sec |  2.1 updates/sec | elapsed 0h00m06s | eta 0h36m17s 
| epoch 1 | step     15/ 4544 (0%) | loss 112.813 | lr 1.0e-01 | 20.8 sents/sec |  2.1 updates/sec | elapsed 0h00m07s | eta 0h36m18s 
| epoch 1 | step     16/ 4544 (0%) | loss 111.775 | lr 1.0e-01 | 20.8 sents/sec |  2.1 updates/sec | elapsed 0h00m07s | eta 0h36m18s 
| epoch 1 | step     17/ 4544 (0%) | loss 113.870 | lr 1.0e-01 | 20.7 sents/sec |  2.1 updates/sec | elapsed 0h00m08s | eta 0h36m29s 
| epoch 1 | step     18/ 4544 (0%) | loss 108.281 | lr 1.0e-01 | 20.7 sents/sec |  2.1 updates/sec | elapsed 0h00m08s | eta 0h36m31s 
| epoch 1 | step     19/ 4544 (0%) | loss 127.818 | lr 1.0e-01 | 20.5 sents/sec |  2.0 updates/sec | elapsed 0h00m09s | eta 0h36m47s 
| epoch 1 | step     20/ 4544 (0%) | loss 112.494 | lr 1.0e-01 | 20.4 sents/sec |  2.0 updates/sec | elapsed 0h00m09s | eta 0h36m58s 
| epoch 1 | step     21/ 4544 (0%) | loss 115.128 | lr 1.0e-01 | 20.4 sents/sec |  2.0 updates/sec | elapsed 0h00m10s | eta 0h37m01s 
| epoch 1 | step     22/ 4544 (0%) | loss 106.015 | lr 1.0e-01 | 20.4 sents/sec |  2.0 updates/sec | elapsed 0h00m10s | eta 0h36m58s 
| epoch 1 | step     23/ 4544 (1%) | loss  78.697 | lr 1.0e-01 | 20.6 sents/sec |  2.1 updates/sec | elapsed 0h00m11s | eta 0h36m34s 
| epoch 1 | step     24/ 4544 (1%) | loss 116.140 | lr 1.0e-01 | 20.5 sents/sec |  2.1 updates/sec | elapsed 0h00m11s | eta 0h36m41s 
| epoch 1 | step     25/ 4544 (1%) | loss  77.718 | lr 1.0e-01 | 20.7 sents/sec |  2.1 updates/sec | elapsed 0h00m12s | eta 0h36m20s 
| epoch 1 | step     26/ 4544 (1%) | loss  62.786 | lr 1.0e-01 | 21.0 sents/sec |  2.1 updates/sec | elapsed 0h00m12s | eta 0h35m49s 
| epoch 1 | step     27/ 4544 (1%) | loss 103.331 | lr 1.0e-01 | 21.0 sents/sec |  2.1 updates/sec | elapsed 0h00m12s | eta 0h35m53s 
| epoch 1 | step     28/ 4544 (1%) | loss 103.195 | lr 1.0e-01 | 21.0 sents/sec |  2.1 updates/sec | elapsed 0h00m13s | eta 0h35m54s 
| epoch 1 | step     29/ 4544 (1%) | loss 102.248 | lr 1.0e-01 | 21.0 sents/sec |  2.1 updates/sec | elapsed 0h00m13s | eta 0h35m51s 
| epoch 1 | step     30/ 4544 (1%) | loss  78.002 | lr 1.0e-01 | 21.1 sents/sec |  2.1 updates/sec | elapsed 0h00m14s | eta 0h35m41s 
| epoch 1 | step     31/ 4544 (1%) | loss  89.697 | lr 1.0e-01 | 21.1 sents/sec |  2.1 updates/sec | elapsed 0h00m14s | eta 0h35m34s 
| epoch 1 | step     32/ 4544 (1%) | loss  92.888 | lr 1.0e-01 | 21.2 sents/sec |  2.1 updates/sec | elapsed 0h00m15s | eta 0h35m31s 
| epoch 1 | step     33/ 4544 (1%) | loss 119.050 | lr 1.0e-01 | 21.1 sents/sec |  2.1 updates/sec | elapsed 0h00m15s | eta 0h35m41s 
| epoch 1 | step     34/ 4544 (1%) | loss 113.859 | lr 1.0e-01 | 21.0 sents/sec |  2.1 updates/sec | elapsed 0h00m16s | eta 0h35m45s 
| epoch 1 | step     35/ 4544 (1%) | loss  93.355 | lr 1.0e-01 | 21.1 sents/sec |  2.1 updates/sec | elapsed 0h00m16s | eta 0h35m39s 
| epoch 1 | step     36/ 4544 (1%) | loss 126.864 | lr 1.0e-01 | 20.9 sents/sec |  2.1 updates/sec | elapsed 0h00m17s | eta 0h35m52s 
| epoch 1 | step     37/ 4544 (1%) | loss 104.341 | lr 1.0e-01 | 20.9 sents/sec |  2.1 updates/sec | elapsed 0h00m17s | eta 0h35m54s 
| epoch 1 | step     38/ 4544 (1%) | loss  88.034 | lr 1.0e-01 | 21.0 sents/sec |  2.1 updates/sec | elapsed 0h00m18s | eta 0h35m47s 
| epoch 1 | step     39/ 4544 (1%) | loss 108.910 | lr 1.0e-01 | 21.0 sents/sec |  2.1 updates/sec | elapsed 0h00m18s | eta 0h35m49s 
| epoch 1 | step     40/ 4544 (1%) | loss 109.021 | lr 1.0e-01 | 20.9 sents/sec |  2.1 updates/sec | elapsed 0h00m19s | eta 0h35m55s 
| epoch 1 | step     41/ 4544 (1%) | loss 104.490 | lr 1.0e-01 | 20.9 sents/sec |  2.1 updates/sec | elapsed 0h00m19s | eta 0h35m57s 
| epoch 1 | step     42/ 4544 (1%) | loss  97.544 | lr 1.0e-01 | 20.9 sents/sec |  2.1 updates/sec | elapsed 0h00m20s | eta 0h35m56s 
| epoch 1 | step     43/ 4544 (1%) | loss 106.246 | lr 1.0e-01 | 20.8 sents/sec |  2.1 updates/sec | elapsed 0h00m20s | eta 0h36m00s 
| epoch 1 | step     44/ 4544 (1%) | loss  82.962 | lr 1.0e-01 | 20.9 sents/sec |  2.1 updates/sec | elapsed 0h00m21s | eta 0h35m54s 
