[dynet] random seed: 5
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_150008`.
Saving logs to `models/temp/20190105_150008/log`.
Saving predictions to `models/temp/20190105_150008/output`.
Saving models to `models/temp/20190105_150008`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 178.868 | lr 1.0e-01 | 26.2 sents/sec |  2.6 updates/sec | elapsed 0h00m00s | eta 0h28m51s 
| epoch 1 | step      2/ 4544 (0%) | loss 207.884 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m00s | eta 0h30m47s 
| epoch 1 | step      3/ 4544 (0%) | loss 176.915 | lr 1.0e-01 | 24.8 sents/sec |  2.5 updates/sec | elapsed 0h00m01s | eta 0h30m29s 
| epoch 1 | step      4/ 4544 (0%) | loss 129.926 | lr 1.0e-01 | 25.2 sents/sec |  2.5 updates/sec | elapsed 0h00m01s | eta 0h30m04s 
| epoch 1 | step      5/ 4544 (0%) | loss 148.278 | lr 1.0e-01 | 24.0 sents/sec |  2.4 updates/sec | elapsed 0h00m02s | eta 0h31m32s 
| epoch 1 | step      6/ 4544 (0%) | loss 158.234 | lr 1.0e-01 | 22.8 sents/sec |  2.3 updates/sec | elapsed 0h00m02s | eta 0h33m08s 
| epoch 1 | step      7/ 4544 (0%) | loss 124.937 | lr 1.0e-01 | 22.6 sents/sec |  2.3 updates/sec | elapsed 0h00m03s | eta 0h33m27s 
| epoch 1 | step      8/ 4544 (0%) | loss 114.666 | lr 1.0e-01 | 23.1 sents/sec |  2.3 updates/sec | elapsed 0h00m03s | eta 0h32m47s 
| epoch 1 | step      9/ 4544 (0%) | loss 130.157 | lr 1.0e-01 | 23.2 sents/sec |  2.3 updates/sec | elapsed 0h00m03s | eta 0h32m36s 
| epoch 1 | step     10/ 4544 (0%) | loss 126.241 | lr 1.0e-01 | 23.3 sents/sec |  2.3 updates/sec | elapsed 0h00m04s | eta 0h32m23s 
| epoch 1 | step     11/ 4544 (0%) | loss 104.265 | lr 1.0e-01 | 23.7 sents/sec |  2.4 updates/sec | elapsed 0h00m04s | eta 0h31m53s 
| epoch 1 | step     12/ 4544 (0%) | loss 122.850 | lr 1.0e-01 | 23.8 sents/sec |  2.4 updates/sec | elapsed 0h00m05s | eta 0h31m42s 
| epoch 1 | step     13/ 4544 (0%) | loss 105.388 | lr 1.0e-01 | 24.2 sents/sec |  2.4 updates/sec | elapsed 0h00m05s | eta 0h31m15s 
| epoch 1 | step     14/ 4544 (0%) | loss 117.925 | lr 1.0e-01 | 24.3 sents/sec |  2.4 updates/sec | elapsed 0h00m05s | eta 0h31m07s 
| epoch 1 | step     15/ 4544 (0%) | loss  79.521 | lr 1.0e-01 | 24.7 sents/sec |  2.5 updates/sec | elapsed 0h00m06s | eta 0h30m36s 
| epoch 1 | step     16/ 4544 (0%) | loss 117.157 | lr 1.0e-01 | 24.7 sents/sec |  2.5 updates/sec | elapsed 0h00m06s | eta 0h30m33s 
| epoch 1 | step     17/ 4544 (0%) | loss 124.554 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m06s | eta 0h30m38s 
| epoch 1 | step     18/ 4544 (0%) | loss 120.451 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m07s | eta 0h30m42s 
| epoch 1 | step     19/ 4544 (0%) | loss 135.279 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m07s | eta 0h30m57s 
| epoch 1 | step     20/ 4544 (0%) | loss 101.529 | lr 1.0e-01 | 24.5 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h30m43s 
| epoch 1 | step     21/ 4544 (0%) | loss 106.984 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h30m42s 
| epoch 1 | step     22/ 4544 (0%) | loss 128.421 | lr 1.0e-01 | 24.5 sents/sec |  2.5 updates/sec | elapsed 0h00m08s | eta 0h30m45s 
| epoch 1 | step     23/ 4544 (1%) | loss 106.624 | lr 1.0e-01 | 24.6 sents/sec |  2.5 updates/sec | elapsed 0h00m09s | eta 0h30m38s 
| epoch 1 | step     24/ 4544 (1%) | loss 134.045 | lr 1.0e-01 | 24.4 sents/sec |  2.4 updates/sec | elapsed 0h00m09s | eta 0h30m49s 
| epoch 1 | step     25/ 4544 (1%) | loss  73.991 | lr 1.0e-01 | 24.7 sents/sec |  2.5 updates/sec | elapsed 0h00m10s | eta 0h30m28s 
| epoch 1 | step     26/ 4544 (1%) | loss  83.808 | lr 1.0e-01 | 25.0 sents/sec |  2.5 updates/sec | elapsed 0h00m10s | eta 0h30m09s 
| epoch 1 | step     27/ 4544 (1%) | loss  96.524 | lr 1.0e-01 | 25.2 sents/sec |  2.5 updates/sec | elapsed 0h00m10s | eta 0h29m55s 
| epoch 1 | step     28/ 4544 (1%) | loss  79.795 | lr 1.0e-01 | 25.4 sents/sec |  2.5 updates/sec | elapsed 0h00m11s | eta 0h29m34s 
| epoch 1 | step     29/ 4544 (1%) | loss  78.064 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m11s | eta 0h29m15s 
| epoch 1 | step     30/ 4544 (1%) | loss 106.554 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m11s | eta 0h29m15s 
| epoch 1 | step     31/ 4544 (1%) | loss  96.707 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m12s | eta 0h29m13s 
| epoch 1 | step     32/ 4544 (1%) | loss 102.200 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m12s | eta 0h29m15s 
| epoch 1 | step     33/ 4544 (1%) | loss 120.951 | lr 1.0e-01 | 25.6 sents/sec |  2.6 updates/sec | elapsed 0h00m12s | eta 0h29m25s 
| epoch 1 | step     34/ 4544 (1%) | loss  88.909 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m13s | eta 0h29m18s 
| epoch 1 | step     35/ 4544 (1%) | loss 119.124 | lr 1.0e-01 | 25.5 sents/sec |  2.6 updates/sec | elapsed 0h00m13s | eta 0h29m26s 
| epoch 1 | step     36/ 4544 (1%) | loss  82.455 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m14s | eta 0h29m16s 
| epoch 1 | step     37/ 4544 (1%) | loss  88.102 | lr 1.0e-01 | 25.7 sents/sec |  2.6 updates/sec | elapsed 0h00m14s | eta 0h29m10s 
| epoch 1 | step     38/ 4544 (1%) | loss  96.244 | lr 1.0e-01 | 25.8 sents/sec |  2.6 updates/sec | elapsed 0h00m14s | eta 0h29m08s 
| epoch 1 | step     39/ 4544 (1%) | loss 100.670 | lr 1.0e-01 | 25.8 sents/sec |  2.6 updates/sec | elapsed 0h00m15s | eta 0h29m08s 
