[dynet] random seed: 1
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
Output subdirectory: `models/temp/20190105_145949`.
Saving logs to `models/temp/20190105_145949/log`.
Saving predictions to `models/temp/20190105_145949/output`.
Saving models to `models/temp/20190105_145949`.
Loading training trees from `data/ptb/train.trees`...
Loading development trees from `data/ptb/dev.trees`...
Loading test trees from `data/ptb/test.trees`...
Constructing vocabularies...
Corpus statistics:
Vocab: 47,466 words, 26 nonterminals, 28 actions
Train: 45,445 sentences
Dev: 1,346 sentences
Test: 2,416 sentences
Initializing model...
Number of parameters: 766,078
Building sgd optimizer...
Start training...
| epoch 1 | step      1/ 4544 (0%) | loss 271.303 | lr 1.0e-01 | 19.8 sents/sec |  2.0 updates/sec | elapsed 0h00m00s | eta 0h38m20s 
| epoch 1 | step      2/ 4544 (0%) | loss 208.864 | lr 1.0e-01 | 22.8 sents/sec |  2.3 updates/sec | elapsed 0h00m00s | eta 0h33m16s 
| epoch 1 | step      3/ 4544 (0%) | loss 168.301 | lr 1.0e-01 | 24.2 sents/sec |  2.4 updates/sec | elapsed 0h00m01s | eta 0h31m18s 
| epoch 1 | step      4/ 4544 (0%) | loss 137.965 | lr 1.0e-01 | 25.0 sents/sec |  2.5 updates/sec | elapsed 0h00m01s | eta 0h30m18s 
| epoch 1 | step      5/ 4544 (0%) | loss  91.958 | lr 1.0e-01 | 26.7 sents/sec |  2.7 updates/sec | elapsed 0h00m01s | eta 0h28m19s 
| epoch 1 | step      6/ 4544 (0%) | loss 107.320 | lr 1.0e-01 | 27.2 sents/sec |  2.7 updates/sec | elapsed 0h00m02s | eta 0h27m47s 
| epoch 1 | step      7/ 4544 (0%) | loss 139.294 | lr 1.0e-01 | 27.4 sents/sec |  2.7 updates/sec | elapsed 0h00m02s | eta 0h27m35s 
| epoch 1 | step      8/ 4544 (0%) | loss  88.928 | lr 1.0e-01 | 28.1 sents/sec |  2.8 updates/sec | elapsed 0h00m02s | eta 0h26m52s 
| epoch 1 | step      9/ 4544 (0%) | loss 119.076 | lr 1.0e-01 | 28.3 sents/sec |  2.8 updates/sec | elapsed 0h00m03s | eta 0h26m44s 
| epoch 1 | step     10/ 4544 (0%) | loss  98.950 | lr 1.0e-01 | 28.6 sents/sec |  2.9 updates/sec | elapsed 0h00m03s | eta 0h26m24s 
| epoch 1 | step     11/ 4544 (0%) | loss 117.964 | lr 1.0e-01 | 28.6 sents/sec |  2.9 updates/sec | elapsed 0h00m03s | eta 0h26m23s 
| epoch 1 | step     12/ 4544 (0%) | loss  80.090 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m04s | eta 0h25m49s 
| epoch 1 | step     13/ 4544 (0%) | loss 122.836 | lr 1.0e-01 | 29.0 sents/sec |  2.9 updates/sec | elapsed 0h00m04s | eta 0h26m00s 
| epoch 1 | step     14/ 4544 (0%) | loss 101.925 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m04s | eta 0h25m52s 
| epoch 1 | step     15/ 4544 (0%) | loss 106.641 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m05s | eta 0h25m50s 
| epoch 1 | step     16/ 4544 (0%) | loss 104.353 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m05s | eta 0h25m51s 
| epoch 1 | step     17/ 4544 (0%) | loss  76.588 | lr 1.0e-01 | 29.6 sents/sec |  3.0 updates/sec | elapsed 0h00m05s | eta 0h25m29s 
| epoch 1 | step     18/ 4544 (0%) | loss 113.892 | lr 1.0e-01 | 29.5 sents/sec |  2.9 updates/sec | elapsed 0h00m06s | eta 0h25m36s 
| epoch 1 | step     19/ 4544 (0%) | loss 150.122 | lr 1.0e-01 | 28.9 sents/sec |  2.9 updates/sec | elapsed 0h00m06s | eta 0h26m06s 
| epoch 1 | step     20/ 4544 (0%) | loss 106.661 | lr 1.0e-01 | 28.8 sents/sec |  2.9 updates/sec | elapsed 0h00m06s | eta 0h26m11s 
| epoch 1 | step     21/ 4544 (0%) | loss  58.978 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m07s | eta 0h25m44s 
| epoch 1 | step     22/ 4544 (0%) | loss 109.198 | lr 1.0e-01 | 29.1 sents/sec |  2.9 updates/sec | elapsed 0h00m07s | eta 0h25m52s 
| epoch 1 | step     23/ 4544 (1%) | loss  77.924 | lr 1.0e-01 | 29.4 sents/sec |  2.9 updates/sec | elapsed 0h00m07s | eta 0h25m39s 
| epoch 1 | step     24/ 4544 (1%) | loss  88.790 | lr 1.0e-01 | 29.5 sents/sec |  3.0 updates/sec | elapsed 0h00m08s | eta 0h25m30s 
| epoch 1 | step     25/ 4544 (1%) | loss  89.039 | lr 1.0e-01 | 29.6 sents/sec |  3.0 updates/sec | elapsed 0h00m08s | eta 0h25m26s 
| epoch 1 | step     26/ 4544 (1%) | loss 120.243 | lr 1.0e-01 | 29.4 sents/sec |  2.9 updates/sec | elapsed 0h00m08s | eta 0h25m37s 
| epoch 1 | step     27/ 4544 (1%) | loss 124.899 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m09s | eta 0h25m48s 
| epoch 1 | step     28/ 4544 (1%) | loss 108.251 | lr 1.0e-01 | 29.1 sents/sec |  2.9 updates/sec | elapsed 0h00m09s | eta 0h25m50s 
| epoch 1 | step     29/ 4544 (1%) | loss  82.414 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m09s | eta 0h25m42s 
| epoch 1 | step     30/ 4544 (1%) | loss 108.105 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m10s | eta 0h25m45s 
| epoch 1 | step     31/ 4544 (1%) | loss  87.204 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m10s | eta 0h25m40s 
| epoch 1 | step     32/ 4544 (1%) | loss 101.761 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m10s | eta 0h25m44s 
| epoch 1 | step     33/ 4544 (1%) | loss  89.634 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m11s | eta 0h25m43s 
| epoch 1 | step     34/ 4544 (1%) | loss  93.506 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m11s | eta 0h25m45s 
| epoch 1 | step     35/ 4544 (1%) | loss  94.884 | lr 1.0e-01 | 29.2 sents/sec |  2.9 updates/sec | elapsed 0h00m11s | eta 0h25m42s 
| epoch 1 | step     36/ 4544 (1%) | loss 102.566 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m12s | eta 0h25m39s 
| epoch 1 | step     37/ 4544 (1%) | loss  97.079 | lr 1.0e-01 | 29.3 sents/sec |  2.9 updates/sec | elapsed 0h00m12s | eta 0h25m36s 
| epoch 1 | step     38/ 4544 (1%) | loss  76.605 | lr 1.0e-01 | 29.5 sents/sec |  3.0 updates/sec | elapsed 0h00m12s | eta 0h25m25s 
| epoch 1 | step     39/ 4544 (1%) | loss  79.363 | lr 1.0e-01 | 29.7 sents/sec |  3.0 updates/sec | elapsed 0h00m13s | eta 0h25m16s 
| epoch 1 | step     40/ 4544 (1%) | loss 106.880 | lr 1.0e-01 | 29.7 sents/sec |  3.0 updates/sec | elapsed 0h00m13s | eta 0h25m17s 
