elbo,-kl,log_px,log_py
-2.08251,-1.81338,-0.806985,-1.09418
-2.71328,-2.40089,-1.0828,-1.39039
-2.31933,-1.80226,-0.868098,-1.27101
-1.44036,-1.32626,-0.482828,-0.82491
-2.35939,-1.98331,-0.957559,-1.2035
-1.30418,-1.4524,-0.475259,-0.683685
-1.34949,-1.68419,-0.497293,-0.683776
-2.70821,-2.11032,-0.97241,-1.52477
-1.90232,-1.7305,-0.640865,-1.08841
-1.85496,-1.70106,-0.617593,-1.06726
-1.38307,-1.54581,-0.554895,-0.673593
-1.47365,-1.34127,-0.488856,-0.850664
-1.78248,-1.59986,-0.679174,-0.943319
-2.15126,-1.78869,-0.755865,-1.21652
-2.60598,-1.94569,-0.907151,-1.50426
-2.01678,-1.60982,-0.747446,-1.10835
-2.36593,-2.22021,-0.949728,-1.19418
-2.19108,-2.05979,-0.88209,-1.10301
-0.846219,-0.979848,-0.300147,-0.448087
-2.29697,-1.91333,-0.885749,-1.21989
-2.11077,-1.89735,-0.688099,-1.23294
-2.90425,-2.61815,-1.20801,-1.43443
-1.97766,-1.84312,-0.739654,-1.0537
-1.68811,-1.53881,-0.582355,-0.951871
-2.51742,-3.29099,-0.846578,-1.34174
-2.94396,-2.40387,-1.10016,-1.60341
-2.1569,-2.05146,-0.758921,-1.19284
-1.8521,-1.48904,-0.620447,-1.08275
-2.08638,-1.77361,-0.674175,-1.23484
-1.83735,-1.80868,-0.75686,-0.899622
-2.70716,-2.18283,-0.979973,-1.5089
-2.34317,-1.98597,-0.814568,-1.33
-0.873854,-1.02606,-0.290026,-0.481222
-1.90262,-1.98627,-0.726438,-0.977555
-2.26859,-1.98435,-0.814161,-1.25599
-2.30807,-2.15692,-0.810158,-1.28221
-1.52134,-1.53536,-0.541116,-0.826691
-2.39391,-1.92572,-0.80055,-1.40079
-2.45639,-2.40638,-1.00035,-1.21541
-2.12865,-2.01754,-0.734332,-1.19256
-1.97605,-1.8171,-0.702271,-1.09207
-1.33106,-1.37114,-0.487792,-0.706154
-2.54841,-2.13463,-0.851331,-1.48362
-1.09854,-1.31106,-0.430027,-0.53741
-2.18069,-1.99589,-0.862476,-1.11862
-1.86534,-1.85785,-0.703397,-0.976161
-1.00305,-1.20189,-0.319529,-0.56333
-1.80387,-1.66231,-0.618389,-1.01925
-2.08647,-1.94747,-0.771688,-1.12004
-2.04563,-1.51124,-0.611293,-1.28321
-1.39263,-1.56424,-0.4235,-0.812704
-1.50389,-1.41045,-0.529052,-0.833793
-1.15669,-1.26722,-0.346755,-0.683215
-1.81277,-1.64138,-0.620996,-1.02764
-2.41974,-1.96389,-0.8736,-1.34975
-2.54558,-2.45298,-1.0238,-1.27649
-1.33322,-1.36937,-0.546917,-0.649368
-2.27633,-1.90276,-0.869966,-1.21609
-1.71734,-1.80279,-0.639075,-0.897985
-2.35229,-2.02238,-0.895004,-1.25505
-1.87164,-1.9968,-0.643745,-1.02822
-1.57874,-1.76015,-0.61174,-0.790989
-2.15439,-2.03325,-0.848684,-1.10238
-1.1293,-1.32141,-0.389521,-0.607635
-1.46096,-1.69125,-0.544065,-0.747772
-2.20927,-2.15781,-0.775253,-1.21824
-1.92114,-1.78082,-0.768699,-0.974361
-1.70136,-1.65509,-0.589923,-0.945929
-2.09822,-1.70341,-0.728558,-1.19932
-1.96346,-1.76861,-0.718106,-1.06849
-2.07143,-1.92961,-0.752854,-1.12561
-1.41842,-1.53761,-0.492672,-0.771982
-1.95545,-1.76957,-0.674168,-1.10433
-1.04708,-1.38009,-0.329444,-0.579624
-1.79004,-1.79703,-0.711274,-0.899059
-2.09074,-2.01383,-0.85137,-1.03799
-2.04746,-2.00634,-0.811044,-1.03578
-1.62811,-1.80123,-0.652382,-0.7956
-1.12614,-1.3011,-0.407815,-0.588213
-2.36482,-2.4296,-0.803779,-1.31808
-2.22735,-2.13969,-0.864596,-1.14879
-2.00405,-2.15168,-0.741018,-1.04786
-2.46032,-2.33792,-0.849167,-1.37736
-2.10521,-2.04446,-0.835627,-1.06514
-1.94202,-1.89003,-0.643364,-1.10966
-1.61307,-1.85292,-0.641941,-0.78584
-2.0019,-1.92784,-0.679841,-1.12927
-1.22605,-1.44864,-0.439431,-0.641758
-2.05276,-1.94362,-0.674932,-1.18347
-2.00181,-2.13065,-0.832522,-0.956225
-3.00972,-2.60871,-1.14014,-1.60871
-2.02388,-2.09992,-0.819879,-0.994009
-1.63634,-2.03424,-0.660454,-0.772464
-2.05874,-2.01684,-0.656253,-1.2008
-2.03155,-2.04641,-0.768196,-1.05871
-2.0034,-2.07268,-0.761993,-1.03414
-1.94198,-2.06878,-0.767321,-0.967781
-1.90772,-2.23438,-0.723181,-0.961096
-1.94647,-2.2569,-0.77815,-0.942625
-0.836647,-1.47525,-0.291514,-0.397608
-2.12763,-2.46087,-0.850883,-1.03066
-1.91416,-2.01464,-0.741446,-0.971249
-1.65598,-1.68542,-0.594105,-0.893337
-1.36407,-1.75071,-0.536874,-0.652125
-1.5285,-1.7387,-0.51628,-0.838351
-1.3931,-1.66393,-0.517584,-0.709123
-1.66762,-1.70233,-0.64178,-0.855611
-1.88828,-2.29079,-0.694532,-0.964671
-2.8559,-2.62486,-1.17748,-1.41594
-1.78741,-2.05059,-0.763323,-0.819029
-1.08498,-1.23195,-0.43793,-0.523857
-1.69243,-1.81048,-0.583012,-0.928367
-1.70889,-1.93286,-0.705627,-0.809977
-1.65254,-1.88776,-0.666917,-0.796846
-1.62301,-1.81547,-0.689122,-0.752345
-1.93804,-2.15023,-0.760859,-0.962157
-1.44155,-1.69339,-0.601571,-0.670637
-2.08878,-2.25536,-0.812919,-1.05032
-1.70019,-1.61804,-0.602092,-0.936294
-2.03886,-2.02239,-0.813364,-1.02325
-2.32806,-2.66349,-1.00972,-1.05199
-2.03444,-1.83292,-0.785872,-1.06528
-1.83705,-1.84627,-0.719378,-0.933045
-1.73162,-1.64382,-0.612933,-0.954301
-1.30991,-1.60676,-0.467294,-0.681942
-2.53738,-2.73709,-0.993474,-1.2702
-1.98605,-4.04269,-0.604517,-0.977262
-1.80373,-1.83955,-0.659892,-0.959878
-2.34708,-2.35797,-0.916179,-1.1951
-1.90436,-1.95556,-0.708963,-0.999843
-1.70869,-1.66729,-0.632225,-0.90974
-1.88701,-1.98881,-0.660105,-1.02802
-2.3207,-2.7223,-0.884083,-1.16438
-1.83738,-1.94088,-0.701831,-0.941456
-2.20635,-2.05768,-0.879094,-1.12149
-1.16871,-1.43329,-0.38551,-0.639867
-1.09113,-1.54982,-0.433508,-0.502638
-1.79913,-1.81884,-0.781557,-0.835692
-1.7644,-1.84897,-0.68233,-0.897171
-1.86441,-2.17907,-0.772249,-0.874259
-2.18898,-2.40528,-0.900462,-1.04799
-1.81365,-1.76701,-0.698633,-0.938311
-1.86532,-1.67505,-0.684113,-1.01371
-1.7044,-2.75402,-0.406179,-1.02282
-1.91751,-2.01735,-0.73716,-0.978611
-2.22707,-2.39399,-0.911254,-1.07641
-1.57285,-1.80454,-0.608285,-0.784108
-2.00199,-2.1026,-0.692782,-1.09895
-1.58526,-1.98407,-0.684945,-0.701907
-1.67261,-1.75578,-0.638431,-0.858598
-2.24064,-2.23742,-0.858307,-1.15859
-1.24421,-1.68114,-0.417327,-0.658768
-1.6859,-1.70427,-0.644705,-0.870765
-1.84998,-2.29397,-0.689596,-0.930984
-0.980852,-0.805935,-0.172199,-0.72806
-2.03851,-1.92127,-0.787689,-1.0587
-1.31324,-1.45607,-0.522408,-0.645228
-0.840135,-1.03199,-0.30979,-0.427146
-1.90517,-1.9902,-0.79295,-0.913202
-1.59847,-1.81153,-0.620103,-0.797219
-1.8164,-1.87704,-0.764476,-0.864225
-2.14257,-2.40761,-0.885175,-1.01663
-2.04608,-1.99597,-0.802786,-1.04369
-1.80031,-1.97288,-0.746554,-0.856468
-1.17279,-1.32109,-0.44935,-0.591328
-1.6851,-2.11534,-0.666119,-0.807449
-1.56543,-1.43169,-0.529376,-0.892884
-1.85481,-1.80235,-0.628802,-1.04577
-1.69614,-1.69371,-0.757169,-0.769597
-1.77795,-1.91558,-0.715792,-0.870597
-1.79964,-1.79103,-0.774068,-0.846465
-2.23076,-2.02562,-0.825366,-1.20283
-1.01426,-1.23909,-0.327472,-0.562875
-1.85696,-2.04414,-0.677553,-0.974997
-1.57826,-1.43143,-0.553133,-0.881982
-2.27428,-2.21676,-0.861309,-1.19129
-1.38751,-1.55173,-0.491148,-0.741186
-2.01655,-1.98065,-0.714039,-1.10445
