elbo,-kl,log_px,log_py
-86.3557,-22.8952,-14.9793,-69.0868
-118.729,-25.123,-19.9836,-96.2329
-58.8524,-20.7873,-10.1537,-46.62
-106.626,-31.0128,-17.7879,-85.7373
-85.5824,-24.3068,-16.6071,-66.5447
-109.433,-24.9963,-17.8714,-89.0623
-107.392,-14.3612,-17.7567,-88.1991
-104.427,-25.1011,-17.837,-84.0803
-130.631,-19.1928,-23.4144,-105.298
-125.806,-28.8159,-21.5422,-101.382
-99.0152,-24.7384,-16.6465,-79.8948
-124.685,-31.2475,-19.1152,-102.445
-95.1488,-23.8465,-14.2601,-78.5041
-79.3634,-20.5197,-14.4939,-62.8176
-79.9554,-22.9699,-12.4362,-65.2222
-133.64,-25.2823,-22.5254,-108.586
-100.98,-26.2308,-17.9404,-80.4163
-97.898,-20.2978,-17.4947,-78.3736
-110.002,-18.1778,-16.7232,-91.461
-121.635,-18.5023,-19.2846,-100.5
-17.6812,-25.0406,-2.7409,-12.4362
-47.442,-10.3798,-9.66323,-36.7408
-30.8903,-17.1036,-7.73408,-21.4459
-53.1677,-13.4967,-11.0406,-40.7774
-73.3276,-18.4266,-10.8601,-60.6248
-110.401,-19.9513,-17.7409,-90.6654
-110.674,-24.9723,-15.6249,-92.5513
-114.705,-29.8759,-18.6267,-93.0908
-87.2577,-22.4114,-14.8746,-70.142
-103.084,-26.9361,-17.4789,-82.911
-107.62,-28.0557,-18.2903,-86.5242
-34.231,-14.298,-7.44669,-25.3545
-43.252,-15.2652,-8.55854,-33.167
-90.4282,-22.7536,-16.8243,-71.3285
-125.601,-29.5988,-19.4194,-103.221
-101.309,-22.0098,-18.3807,-80.7276
-33.3732,-4.9707,-3.9434,-28.9327
-76.865,-19.497,-10.2773,-64.638
-73.0687,-13.1209,-8.59531,-63.1613
-95.061,-28.8736,-16.4423,-75.7313
-102.302,-36.7566,-17.4712,-81.1555
-57.1922,-14.8676,-11.0581,-44.6473
-87.599,-15.7624,-14.3333,-71.6895
-159.624,-8.94482,-20.8571,-137.873
-34.3504,-14.31,-8.25199,-24.6674
-123.748,-17.9631,-20.9772,-100.974
-90.7551,-19.4983,-16.0899,-72.7153
-36.1566,-11.412,-5.55994,-29.4554
-142.16,-26.5722,-21.9466,-117.556
-97.1388,-21.235,-17.5619,-77.4534
-37.9041,-12.0153,-7.988,-28.7146
-126.094,-25.9417,-20.8229,-102.677
-97.5089,-26.7875,-17.3326,-77.4976
-47.1582,-12.423,-9.07067,-36.8452
-140.521,-35.3668,-27.6272,-109.357
-121.483,-26.4422,-16.9527,-101.886
-33.8362,-11.7993,-7.16078,-25.4955
-120.547,-16.6436,-19.7099,-99.1725
-102.864,-25.8598,-17.1963,-83.0818
-29.3742,-29.1689,-7.35937,-19.098
-119.858,-27.9539,-17.4477,-99.6145
-93.2909,-23.2022,-16.2768,-74.6939
-102.762,-17.754,-17.0941,-83.8927
-98.7946,-21.594,-16.8057,-79.8296
-94.6631,-23.0158,-17.5694,-74.7921
-121.418,-22.7094,-19.3649,-99.7822
-57.3115,-11.5813,-10.8859,-45.2674
-75.3082,-15.5997,-14.1493,-59.5989
-117.562,-20.8229,-19.9734,-95.5061
-101.774,-21.2503,-17.1557,-82.4936
-103.806,-14.918,-16.477,-85.8368
-124.172,-15.4686,-15.9625,-106.662
-94.9091,-15.1198,-16.7947,-76.6024
-93.3831,-19.5758,-15.2721,-76.1533
-101.245,-21.6713,-17.2903,-81.788
-132.816,-24.6999,-20.5532,-109.793
-42.3493,-9.48154,-8.15122,-33.2499
-118.167,-30.4674,-17.2822,-97.8376
-37.2967,-9.63858,-7.67222,-28.6606
-38.2153,-7.9466,-7.08176,-30.3388
-50.1148,-4.27795,-6.56041,-43.1266
-76.1293,-23.0621,-9.96213,-63.861
-117.41,-30.7013,-20.1253,-94.2146
-100.46,-32.6631,-18.1873,-79.0061
-111.701,-30.1882,-18.1888,-90.4938
-101.605,-21.9942,-16.582,-82.8233
-87.0703,-17.1394,-14.2026,-71.1538
-108.253,-20.452,-16.6289,-89.5792
-46.4118,-12.2892,-6.77523,-38.4077
-115.154,-33.2596,-18.6451,-93.1827
-96.0626,-17.885,-15.5385,-78.7356
-96.8229,-26.5231,-17.6135,-76.5571
-31.7652,-9.18827,-6.77761,-24.0688
-102.783,-21.2321,-15.9451,-84.7144
-71.2644,-20.314,-11.2425,-57.9905
-107.621,-21.0688,-15.7865,-89.7273
-116.917,-20.7591,-16.842,-97.9989
-107.035,-32.5397,-17.478,-86.3029
-109.109,-26.2686,-17.4365,-89.0456
-15.44,-25.6163,-2.18602,-10.6924
-103.088,-21.1521,-15.7339,-85.2391
-122.04,-23.4701,-19.795,-99.8976
-109.133,-26.3095,-17.51,-88.9917
-108.618,-23.6678,-18.8673,-87.3838
-86.4002,-27.6851,-13.0823,-70.5494
-120.134,-29.0306,-19.3628,-97.8684
-99.5887,-19.2932,-16.2507,-81.4087
-115.728,-15.6839,-16.4968,-97.6633
-53.4403,-16.7088,-10.3747,-41.3947
-123.177,-19.4021,-15.7127,-105.524
-40.0518,-15.8548,-6.46903,-31.9973
-78.8428,-18.7744,-12.8068,-64.1585
-33.1917,-16.7944,-6.26975,-25.2426
-91.9064,-26.7194,-14.6307,-74.6038
-123.215,-20.2856,-15.723,-105.463
-100.516,-26.5102,-17.2875,-80.5775
-95.2045,-18.0505,-15.122,-78.2775
-90.4224,-27.9806,-14.9727,-72.6517
-100.287,-24.3746,-16.1488,-81.7003
-88.4404,-24.7771,-13.3798,-72.5829
-100.452,-28.8446,-16.7497,-80.8178
-67.6337,-6.76279,-10.3871,-56.5704
-101.864,-30.7622,-13.3895,-85.3982
-118.355,-15.169,-18.976,-97.8618
-91.2606,-23.9835,-13.3275,-75.5348
-122.073,-22.1548,-18.1378,-101.719
-93.0031,-22.8807,-13.649,-77.0661
-126.266,-21.8801,-17.4559,-106.622
-116.936,-31.3683,-18.3513,-95.4482
-98.6299,-23.4546,-14.6802,-81.6042
-96.5838,-28.9519,-16.0701,-77.6185
-127.544,-23.8823,-18.6461,-106.509
-123.546,-17.2191,-17.3343,-104.49
-95.0965,-34.3554,-14.6669,-76.9941
-78.7757,-13.4818,-11.2668,-66.1608
-114.24,-26.4679,-17.9139,-93.6796
-105.355,-18.3805,-18.1714,-85.3452
-103.77,-40.795,-17.3785,-82.3117
-125.738,-31.2731,-16.7732,-105.837
-14.7766,-22.0954,-1.91679,-10.6502
-124.611,-19.7775,-19.9709,-102.663
-127.541,-25.2516,-18.3787,-106.638
-112.861,-14.9156,-16.4514,-94.9177
-111.024,-24.6907,-16.5963,-91.9583
-108.889,-16.6049,-15.1239,-92.1043
-112.757,-24.8667,-17.7607,-92.5092
-120.581,-21.8143,-17.3391,-101.06
-102.821,-28.5423,-15.7632,-84.2038
-96.8536,-25.0428,-14.9674,-79.382
-95.8874,-28.9006,-15.0282,-77.9692
-97.9021,-32.8792,-14.7954,-79.8188
-82.6495,-16.3802,-11.3328,-69.6787
-13.0327,-20.5039,-1.80716,-9.17514
-101.862,-24.8889,-15.105,-84.2682
-92.1529,-22.886,-14.8941,-74.9702
-102.089,-9.65789,-11.34,-89.7833
-85.4552,-16.2334,-12.6,-71.2319
-89.3314,-23.6025,-15.2702,-71.7009
-98.3731,-28.0664,-15.2249,-80.3416
-83.8274,-28.8036,-14.1071,-66.8399
-82.5072,-21.892,-10.7599,-69.5581
-104.515,-21.3063,-14.4332,-87.9516
-49.3453,-29.8483,-10.8526,-35.5079
-86.9046,-16.9269,-11.294,-73.918
-110.761,-25.2149,-16.8164,-91.4234
-102.318,-19.8558,-15.6621,-84.6705
-115.202,-30.9982,-15.5749,-96.5275
-69.8135,-14.0326,-9.20659,-59.2036
-108.427,-17.503,-14.8118,-91.8651
-62.0347,-41.9932,-10.0866,-47.7488
-124.557,-26.0384,-15.502,-106.451
-81.9306,-20.7186,-14.175,-65.6838
-29.9455,-7.73444,-4.08275,-25.0893
-156.953,-17.0062,-19.2574,-135.995
-62.2675,-19.0313,-8.30551,-52.0589
-87.5796,-31.5585,-13.373,-71.0507
-132.406,-17.6481,-18.1002,-112.541
-88.5387,-18.0994,-13.4162,-73.3125
-99.2342,-17.8702,-16.4435,-81.0036
-135.338,-20.4162,-16.8329,-116.463
-89.7921,-22.0945,-14.5504,-73.0322
-90.4931,-25.6332,-13.7929,-74.1368
-93.7385,-13.4364,-15.3808,-77.0141
-101.784,-20.8426,-16.6725,-83.0274
-117.142,-22.3372,-17.5158,-97.3924
-43.5304,-15.6159,-6.92741,-35.0414
-45.6216,-9.67769,-7.93711,-36.7167
-103.983,-19.4251,-15.4307,-86.6095
-119.234,-18.8745,-15.4137,-101.932
-88.3024,-14.5487,-12.7796,-74.0679
-88.6702,-20.8914,-14.1033,-72.4777
-73.7111,-15.6768,-9.73951,-62.4039
-105.24,-25.2354,-15.813,-86.9033
-115.933,-36.6055,-15.2643,-97.0083
-115.515,-29.2649,-14.5461,-98.0421
-94.2216,-18.8347,-14.0565,-78.2817
-103.933,-23.6592,-15.162,-86.4052
-37.2529,-8.05393,-6.80529,-29.6422
-126.13,-8.57612,-15.9357,-109.337
-98.3459,-20.6916,-13.3089,-82.9679
-118.133,-27.2993,-15.9814,-99.4218
-112.972,-23.5997,-15.3829,-95.229
-77.7781,-15.9402,-12.1036,-64.0805
-102.916,-29.4512,-15.5843,-84.3863
-112.463,-29.6348,-15.5936,-93.9061
-32.6269,-8.70252,-5.86505,-25.8916
-120.679,-28.777,-16.2472,-101.554
-75.7315,-21.3077,-11.485,-62.1158
-88.8077,-17.3855,-13.4993,-73.5698
-96.2071,-24.35,-13.6255,-80.1465
-70.1915,-8.80391,-8.61695,-60.6941
-110.918,-36.708,-14.1123,-93.1345
-108.425,-23.8415,-14.0434,-91.9977
-60.3681,-12.4221,-9.28877,-49.8371
-77.7026,-22.2472,-12.5764,-62.9015
-121.267,-20.0135,-17.9058,-101.36
-84.432,-26.139,-11.6524,-70.1657
-111.179,-21.3578,-14.2782,-94.7647
-16.3762,-18.226,-2.07617,-12.4774
-40.4478,-14.1706,-7.33058,-31.7002
-119.762,-20.1747,-15.0661,-102.679
-17.1421,-9.91686,-2.00913,-14.1413
-103.745,-21.3814,-14.0272,-87.5794
-82.0839,-22.7835,-11.727,-68.0785
-98.1008,-26.6986,-14.839,-80.5919
-97.8675,-26.3359,-12.4617,-82.7722
-27.9273,-17.783,-6.27672,-19.8723
-117.437,-10.0855,-14.8835,-101.545
-120.831,-20.0441,-16.5712,-102.256
-113.462,-24.5327,-15.4068,-95.6017
-131.123,-23.0209,-17.356,-111.465
-103.242,-20.0749,-14.9649,-86.2694
-83.4762,-21.2596,-11.2982,-70.0521
-84.7796,-20.1289,-12.0292,-70.7375
-120.207,-13.8489,-18.0618,-100.76
-96.5481,-23.8931,-14.2299,-79.9288
-93.3455,-25.4595,-13.8139,-76.9856
-104.769,-20.5328,-15.7337,-86.982
-79.8836,-29.2893,-11.1732,-65.7815
-110.363,-18.4354,-14.1639,-94.3555
-119.587,-30.4039,-17.6544,-98.8922
-107.838,-20.2144,-14.1177,-91.6992
-96.9539,-30.0386,-14.7773,-79.1728
-116.014,-31.4367,-14.8878,-97.9827
-35.2072,-8.25196,-4.70473,-29.6773
-14.6754,-20.4041,-1.79008,-10.845
-91.0985,-19.7973,-12.3155,-76.8033
-99.6293,-26.5782,-13.5355,-83.436
-91.7231,-16.5704,-13.2653,-76.8007
-88.0769,-25.5086,-13.4349,-72.0911
-93.8302,-20.1002,-13.5621,-78.258
-84.3373,-21.0623,-11.1843,-71.0468
-117.404,-17.9971,-15.5285,-100.076
-96.1027,-27.2316,-15.3972,-77.9824
-93.3603,-27.1904,-14.4122,-76.229
-95.8401,-19.1111,-14.0113,-79.9178
-79.4896,-22.1492,-11.917,-65.3577
-112.31,-21.3687,-13.9355,-96.2378
-91.6456,-22.0368,-13.2427,-76.1992
-108.428,-22.6951,-15.5562,-90.6027
-61.9338,-18.6177,-6.64434,-53.4277
-89.222,-19.5016,-11.9364,-75.3354
-36.5563,-12.8886,-6.36312,-28.9043
-90.1165,-34.4411,-11.3608,-75.3116
-125.467,-13.7508,-16.6593,-107.432
-101.951,-6.41291,-13.292,-88.0175
-89.1142,-20.6126,-14.2436,-72.8093
-130.375,-24.1258,-16.7038,-111.258
-88.6093,-21.0249,-11.3908,-75.116
-13.5772,-24.6399,-1.67231,-9.44088
-76.0363,-19.9366,-9.80852,-64.2341
-97.138,-27.1591,-13.4559,-80.9662
-56.5124,-16.4445,-8.84672,-46.0213
-101.889,-25.9801,-16.5981,-82.6928
-89.3683,-30.5378,-11.5929,-74.7216
-106.031,-16.1278,-13.9546,-90.4641
-86.5833,-18.0443,-11.7913,-72.9876
-38.7286,-20.1119,-8.10516,-28.6122
-86.8251,-19.9111,-12.6428,-72.1912
-83.858,-14.9038,-10.8863,-71.4814
-100.706,-19.9367,-16.2553,-82.4566
-16.4858,-20.893,-1.8036,-12.5929
-25.1647,-11.8028,-3.97621,-20.0082
-101.801,-18.1491,-13.9291,-86.0571
-75.0772,-12.699,-10.4284,-63.379
-15.8527,-21.0764,-2.01237,-11.7327
-110.168,-22.7136,-14.9121,-92.9849
-132.089,-17.0411,-14.5509,-115.834
-121.675,-22.4338,-18.5261,-100.905
-67.1817,-15.7757,-9.9367,-55.6675
-29.6113,-14.0933,-5.31856,-22.8834
-88.6869,-13.6149,-10.9489,-76.3765
-103.947,-23.6152,-15.9555,-85.6295
-111.47,-18.1508,-14.8501,-94.8048
-103.84,-24.9193,-13.3151,-88.0334
-109.932,-22.9577,-15.4682,-92.1683
-126.76,-19.9312,-16.092,-108.675
-98.6243,-31.0453,-12.9316,-82.5882
-36.7442,-5.80894,-4.16336,-32.0
-112.212,-31.1319,-15.968,-93.1306
-108.745,-22.8287,-16.0812,-90.3809
-16.8966,-16.595,-2.0926,-13.1445
-61.3214,-6.24678,-7.62134,-53.0754
-112.432,-20.4933,-14.7879,-95.5952
-85.9891,-20.2816,-12.6984,-71.2625
-116.701,-27.0462,-17.144,-96.8522
-52.6645,-3.19082,-8.08454,-44.2609
-105.577,-24.0398,-16.3983,-86.7746
-97.071,-24.4131,-15.1206,-79.5091
-88.9393,-27.6597,-11.4279,-74.7454
-94.7711,-22.6122,-15.2023,-77.3076
-104.526,-22.2497,-14.0728,-88.2285
-95.2602,-23.0682,-13.3112,-79.6422
-96.6545,-22.8905,-13.8975,-80.468
-108.634,-26.2699,-15.7813,-90.2258
-86.7169,-24.4074,-12.2061,-72.07
-99.1079,-22.5465,-12.8944,-83.9589
-122.245,-27.3025,-14.5757,-104.939
-43.7918,-10.1953,-7.23351,-35.5387
-110.095,-22.7304,-17.4036,-90.4186
-91.688,-22.4554,-12.5115,-76.931
-110.391,-30.1548,-12.5576,-94.8178
-79.3163,-23.014,-9.19073,-67.8241
-107.171,-19.5149,-14.6431,-90.5768
-106.977,-30.422,-13.8699,-90.0652
-98.3702,-12.8934,-12.1128,-84.9681
-88.5402,-20.8399,-12.4701,-73.9861
-107.618,-28.3421,-14.1398,-90.6439
-75.97,-13.6631,-7.7585,-66.8452
-104.992,-23.4368,-13.2247,-89.4236
-134.682,-15.4751,-15.8803,-117.255
-97.0683,-27.6122,-13.851,-80.4561
-90.6823,-28.3562,-11.6046,-76.2421
-156.492,-24.6679,-19.558,-134.467
-40.7297,-16.3586,-5.81292,-33.2809
-122.974,-16.164,-14.4707,-106.887
-72.6426,-16.7682,-11.4384,-59.5273
-128.617,-10.7099,-16.3602,-111.186
-94.0436,-25.4614,-12.7175,-78.78
-96.783,-24.6162,-13.989,-80.3324
-112.274,-22.6001,-14.5382,-95.4762
-94.5881,-16.4061,-12.7329,-80.2146
-106.692,-18.3812,-12.7695,-92.0841
-96.2526,-28.053,-11.4317,-82.0156
-100.194,-30.1265,-13.3416,-83.8394
-103.055,-31.2599,-13.5756,-86.3534
-108.849,-9.43082,-12.8602,-95.0458
-108.636,-16.7086,-13.8889,-93.0761
-22.7542,-48.2673,-2.88743,-15.04
-120.092,-26.5177,-16.077,-101.363
-101.417,-18.8203,-11.8955,-87.6393
-40.0755,-17.712,-6.70654,-31.5978
-92.1529,-19.4405,-12.9312,-77.2776
-96.3139,-17.2213,-12.7326,-81.8592
-93.8703,-13.4925,-13.7913,-78.7298
-40.4531,-14.0115,-5.94127,-33.1107
-103.778,-14.854,-11.7609,-90.5321
-107.828,-23.5206,-14.994,-90.4818
-104.123,-21.9463,-14.8175,-87.1111
-84.0293,-18.1774,-10.6637,-71.5479
-106.611,-29.4284,-13.0829,-90.585
-97.839,-25.6372,-12.2229,-83.0524
-40.72,-15.5754,-6.89262,-32.2699
-122.882,-24.2549,-17.3899,-103.066
-111.311,-21.8412,-16.2204,-92.9067
-87.85,-12.412,-10.7602,-75.8486
-43.2879,-5.49711,-6.39206,-36.3461
-125.4,-20.6476,-16.2615,-107.074
-111.657,-28.067,-15.5126,-93.3378
-122.058,-25.8194,-15.04,-104.436
-107.776,-24.2572,-13.8293,-91.521
-128.754,-18.5338,-14.437,-112.464
-119.319,-22.669,-14.9895,-102.062
-123.315,-19.482,-14.2473,-107.119
-132.656,-23.4275,-16.0712,-114.242
-74.5691,-14.6093,-10.7744,-62.3338
-94.9139,-20.7797,-11.9151,-80.9208
-106.616,-26.5683,-13.629,-90.3301
-99.0462,-10.2881,-11.4923,-86.525
-29.5484,-19.2808,-5.53995,-22.0804
-96.5841,-24.6034,-15.139,-78.9848
-17.5591,-21.5681,-2.14607,-13.2562
-85.7633,-16.4949,-9.38963,-74.7242
-103.078,-25.4543,-14.5658,-85.9664
-88.5131,-20.3412,-11.517,-74.962
-122.801,-30.4899,-16.1984,-103.554
-83.2834,-21.5486,-11.3249,-69.8036
-93.0981,-27.0169,-11.9327,-78.4637
-117.241,-22.349,-14.6644,-100.341
-91.6581,-19.9908,-12.6435,-77.0155
-52.3393,-17.8976,-9.00563,-41.5439
-51.8429,-17.0557,-6.16971,-43.9676
-112.941,-29.4196,-13.4806,-96.5186
-37.2497,-39.1657,-7.0772,-26.256
-31.1775,-5.73486,-3.93813,-26.6659
-101.408,-17.4627,-13.1145,-86.5475
-101.829,-26.3845,-13.2869,-85.9036
-50.1907,-11.8357,-7.36911,-41.6381
-71.4118,-18.5727,-8.47361,-61.0809
-101.431,-19.1596,-13.3744,-86.1403
-104.153,-14.3661,-10.2182,-92.4986
-79.9343,-19.7335,-11.5401,-66.4208
-89.9659,-20.8732,-12.388,-75.4906
-88.5113,-25.5382,-13.8423,-72.1152
-83.5807,-15.7076,-12.9691,-69.0408
-85.5452,-14.7005,-10.7291,-73.346
-91.555,-20.0172,-11.5868,-77.9665
-106.139,-13.6536,-13.1991,-91.5743
-96.9187,-26.8072,-16.1695,-78.0685
-111.862,-21.2508,-12.7677,-96.9693
-111.604,-22.5504,-11.878,-97.471
-118.259,-21.9301,-14.2805,-101.786
-90.3829,-17.0846,-12.1748,-76.4996
-108.614,-25.2473,-15.3501,-90.7392
-112.662,-15.2974,-12.2557,-98.8761
-43.4078,-5.04222,-5.98618,-36.9174
-120.436,-30.5265,-14.9095,-102.474
-131.173,-15.6187,-15.3992,-114.212
-81.4731,-16.9497,-10.3797,-69.3985
-91.9742,-23.2484,-11.6198,-78.0295
-51.7832,-10.9802,-7.45478,-43.2304
-98.975,-21.7161,-12.6563,-84.147
-102.23,-23.8165,-15.519,-84.3295
-143.341,-15.3709,-17.1672,-124.637
-101.633,-36.2803,-12.1299,-85.8753
-173.29,-6.81167,-12.8943,-159.714
-35.9801,-8.36732,-3.59944,-31.5439
-34.8397,-12.681,-6.02597,-27.5456
-118.009,-27.2541,-15.6678,-99.6159
-82.2141,-13.9413,-11.1183,-69.7017
-114.786,-34.5262,-14.3293,-97.0037
-105.267,-19.457,-13.2549,-90.0665
