0	5.6733e-05	-1.9536e-05	-4.1209e-06	-2.5978e-05	-2.1054e-05	-4.6476e-05	-3.5072e-05	-7.7676e-06	3.2058e-06	-2.1679e-05	-1.5449e-05
-2.4484e-11	5.6734e-05	-1.9536e-05	-4.1209e-06	-2.5978e-05	-2.1054e-05	-4.6476e-05	-3.5072e-05	-7.7676e-06	3.2058e-06	-2.1679e-05	-1.5449e-05
-5.2478e-09	5.6743e-05	-1.9534e-05	-4.1227e-06	-2.5971e-05	-2.1052e-05	-4.6458e-05	-3.507e-05	-7.7625e-06	3.2074e-06	-2.1679e-05	-1.5448e-05
-1.9179e-08	5.6748e-05	-1.9531e-05	-4.1217e-06	-2.5972e-05	-2.1039e-05	-4.6436e-05	-3.5081e-05	-7.76e-06	3.2078e-06	-2.1679e-05	-1.5448e-05
-2.188e-08	5.6749e-05	-1.9534e-05	-4.1154e-06	-2.6019e-05	-2.1045e-05	-4.6501e-05	-3.5071e-05	-7.7892e-06	3.2157e-06	-2.1678e-05	-1.5445e-05
-3.5768e-08	5.6728e-05	-1.9531e-05	-4.1324e-06	-2.6058e-05	-2.1076e-05	-4.6594e-05	-3.5092e-05	-7.7737e-06	3.213e-06	-2.1684e-05	-1.5458e-05
-1.4949e-08	5.6781e-05	-1.9539e-05	-4.1133e-06	-2.5998e-05	-2.1066e-05	-4.6478e-05	-3.5073e-05	-7.7988e-06	3.213e-06	-2.1687e-05	-1.5446e-05
-5.4938e-08	5.6719e-05	-1.9529e-05	-4.1521e-06	-2.6045e-05	-2.1062e-05	-4.66e-05	-3.5104e-05	-7.7531e-06	3.191e-06	-2.1681e-05	-1.5463e-05
1.4482e-08	5.6814e-05	-1.9537e-05	-4.0795e-06	-2.596e-05	-2.1061e-05	-4.6418e-05	-3.5058e-05	-7.7895e-06	3.21e-06	-2.1696e-05	-1.5449e-05
-8.7752e-08	5.6623e-05	-1.9526e-05	-4.1796e-06	-2.6041e-05	-2.1043e-05	-4.6653e-05	-3.5096e-05	-7.7343e-06	3.194e-06	-2.1672e-05	-1.5466e-05
5.6689e-08	5.6971e-05	-1.9531e-05	-4.0377e-06	-2.5965e-05	-2.1107e-05	-4.6305e-05	-3.4983e-05	-7.7865e-06	3.2378e-06	-2.1715e-05	-1.5439e-05
4.4517e-07	5.4825e-05	-1.9822e-05	-3.9669e-06	-2.7117e-05	-2.1179e-05	-4.9147e-05	-3.5761e-05	-8.3417e-06	2.9755e-06	-2.1694e-05	-1.5665e-05
